Time                        Bx(nT)         By(nT)         Bz(nT)
          1395.6883          1.3758         0.8021        11.6758
          1398.6962         -0.3919        -0.1799         8.7872
          1401.7041          0.4442         0.6038         7.7778
          1404.7121          1.5942         1.0455        10.4014
          1407.7200          1.8478         0.1171        11.3193
          1410.7280          1.2074         0.0356         9.4767
          1413.7359          0.8939         0.2613         7.9278
          1416.7439          0.7365         0.0565         7.1687
          1419.7518          1.0220        -0.1045         8.1688
          1422.7598          1.9803        -0.7456        10.9423
          1425.7677          2.4052         0.2537        10.1686
          1428.7757          2.6850         1.2789        10.9618
          1431.7836         -0.4212         1.5818         9.9606
          1434.7916         -0.9986         0.4747         8.2646
          1437.7995         -0.7043         0.2421         6.3258
          1440.8075          1.1699         1.8100         9.4153
          1443.8154          0.9605         1.5749         8.2893
          1446.8234          0.9936         1.9912         8.3639
          1449.8313         -1.0606         1.2179         6.9282
          1452.8393         -0.4142         0.9876         6.9859
          1455.8472          0.1900         0.2018         7.1680
          1458.8552          0.6861        -0.4084         6.7538
          1461.8631          1.4047        -0.1588         7.7716
          1464.8711          1.0001        -0.3415         6.8688
          1467.8790         -0.6594        -0.3276         6.2912
          1470.8870         -0.8128         0.0736         7.3616
          1473.8949          0.2267         0.7368         9.0002
          1476.9029          0.9523         2.4015         9.4420
          1479.9108         -0.9872         1.5823         6.6177
          1482.9188         -0.7711         0.8362         6.4761
          1485.9267          0.5845         0.5751         7.7239
          1488.9347          1.7511        -0.1873         8.6568
          1491.9426          2.1564         1.4397        10.5415
          1494.9506         -0.5074         0.8388         6.0229
          1497.9585         -0.0396         1.9588         8.7602
          1500.9665         -0.1109         2.1828         9.4376
          1503.9744          0.4452         1.0709         6.9495
          1506.9824         -0.2123         1.9572         6.6856
          1509.9903          0.5439         0.7961         6.4965
          1512.9983          1.3771         1.4863         7.0133
          1516.0062         -0.4598         1.1798         6.8650
          1519.0142         -0.5729         1.2345         6.9776
          1522.0221         -0.7108         1.4075         6.9495
          1525.0301         -0.6758         1.5369         6.8625
          1528.0380         -0.8339         1.4624         7.5906
          1531.0459         -0.7427         1.7309         7.6045
          1534.0539         -0.7581         2.2330         8.0522
          1537.0618         -1.9315         2.0861         5.7820
          1540.0698         -0.3656         2.1101         6.6209
          1543.0777         -0.4756         2.0604         8.0829
          1546.0857          0.0351         3.2984        10.1059
          1549.0936         -0.7056         1.2835         8.6443
          1552.1016         -0.9045         0.0690         6.8479
          1555.1095         -0.9919         2.7949         8.1723
          1558.1175         -1.5618         2.5142         7.8821
          1561.1254         -1.2240         2.8350         6.3597
          1564.1334         -0.6406         3.0495         6.7362
          1567.1413         -1.0704         2.6500         6.0112
