Time                      Vx(km/s)         Vy(km/s)       Vz(km/s)       Density(cm^-3)Temp(eV)
          893.36080       -259.7838       121.1636       -15.5994         8.7660       111.8206
          896.36874       -258.4501       122.5449       -19.6950         8.4121       110.6550
          899.37669       -262.8368       121.3306       -16.1356         8.4932       112.9722
          902.38464       -264.3889       123.8577       -17.1649         8.5555       116.1888
          905.39258       -261.4570       125.3383       -22.3454         8.5848       115.7042
          908.40053       -259.3823       126.1424       -21.9005         8.6681       113.9509
          911.40848       -258.1446       126.8695       -21.9390         8.6257       110.4690
          914.41645       -258.8284       120.5246       -21.3888         8.7545       104.4119
          917.42437       -259.3828       116.9820       -21.1905         8.7132       104.2527
          920.43234       -259.1438       116.9724       -18.7622         8.7541       110.3069
          923.44027       -264.1920       115.6244       -17.9324         8.6377       112.8912
          926.44823       -268.1166       117.3564       -20.4077         8.4782       109.4720
          929.45618       -267.0562       119.1074       -18.6462         8.4180       109.6650
          932.46413       -264.6546       121.4859       -21.3696         8.2841       110.2592
          935.47208       -262.5921       126.7163       -23.4493         8.4016       109.4464
          938.48002       -262.0833       126.7552       -22.1237         8.5443       110.6476
          941.48797       -259.6600       128.4388       -20.1463         8.7485       112.9353
          944.49592       -258.8385       127.7591       -20.9611         8.8716       109.5799
          947.50386       -261.6824       120.6808       -22.5700         8.9629       104.0896
          950.51183       -262.6668       119.5299       -21.7043         8.9797       105.2981
          953.51976       -261.1527       121.9975       -19.5115         8.9674       110.3885
          956.52772       -260.3236       122.0796       -20.1769         9.0870       111.5200
          959.53565       -260.6555       120.8152       -22.3526         8.8310       108.2861
          962.54362       -259.1089       118.6463       -23.0874         8.7391       109.1328
          965.55157       -260.1738       119.9980       -23.1965         8.8349       109.8681
          968.55951       -261.2279       120.1677       -26.3013         8.7562       107.0308
          971.56746       -258.9203       116.0717       -24.0281         8.4519       110.7806
          974.57541       -259.0966       113.2690       -19.2820         8.7992       109.9743
          977.58335       -262.2656       117.8356       -24.6770         8.9891       105.3617
          980.59130       -256.5325       124.2182       -27.6499         8.9129       102.9058
          983.59925       -252.0643       123.7394       -23.0971         8.8205       107.2746
          986.60721       -251.3715       119.7775       -21.1459         8.8510       105.1897
          989.61514       -252.6069       117.4008       -25.5233         8.7247       102.4651
          992.62311       -253.1962       114.6528       -22.7855         8.7572       104.6953
          995.63104       -255.3206       116.3119       -20.5436         8.9601       106.4536
          998.63900       -259.9329       118.7412       -22.6494         8.5299       110.7746
          1001.6470       -260.9793       119.5936       -23.6388         8.3768       112.0054
          1004.6549       -255.2261       122.3959       -25.2006         8.3453       105.8856
          1007.6628       -253.7461       122.1297       -25.2908         8.5999       104.0715
          1010.6708       -256.1366       115.9098       -20.9477         9.0286       105.1493
          1013.6787       -258.0733       112.4484       -21.1123         9.1434       104.0503
          1016.6867       -254.3418       119.4797       -24.9471         8.9073       105.0538
          1019.6946       -251.4836       123.5852       -24.3396         9.0139       108.5971
          1022.7026       -250.4189       116.2325       -20.6918         9.1626       108.6173
          1025.7105       -252.0491       112.6707       -19.0614         9.0766       108.5520
          1028.7185       -254.8868       113.2504       -20.3237         8.9632       106.8354
          1031.7264       -256.1255       116.7611       -25.7578         8.9031       106.1830
          1034.7344       -249.6218       119.5561       -26.3415         8.6576       106.0192
          1037.7423       -247.0956       114.8156       -20.1560         8.9202       103.8779
          1040.7503       -252.9699       111.4041       -18.3184         9.2458       103.8642
          1043.7582       -256.6793       114.9622       -27.5795         8.8314       100.5814
          1046.7662       -254.7829       115.3820       -26.2788         8.7436       103.1090
          1049.7741       -256.3737       116.7410       -21.7018         9.0031       108.5683
          1052.7821       -261.0420       115.9776       -20.8756         9.3714       107.4681
          1055.7900       -266.9499       115.6652       -23.8052         9.7634       104.2876
          1058.7980       -264.7050       118.8979       -22.8234         9.8844       103.9033
          1061.8059       -255.9671       119.8400       -22.4956         9.4336       105.9353
          1064.8139       -250.2288       115.1234       -20.3921         9.2857       106.0912
          1067.8218       -248.9903       114.4408       -20.7498         9.1273       105.5308
          1070.8298       -251.9823       114.3057       -22.1642         8.9793       102.9547
          1073.8377       -252.8060       114.3426       -23.7589         8.9730       103.3942
          1076.8457       -251.6955       113.4591       -22.7878         9.2689       106.6506
          1079.8536       -252.2374       112.7358       -21.4239         9.5147       104.9671
          1082.8616       -256.5733       115.7420       -21.7639         9.4595       103.0838
          1085.8695       -261.6203       115.6573       -23.0916         9.4577       103.2678
          1088.8775       -260.8762       119.4011       -20.5661         9.7494       109.2142
          1091.8854       -255.5053       129.8638       -22.1241         9.7099       113.5865
          1094.8934       -250.5590       127.9488       -26.8729         9.3273       106.8463
          1097.9013       -244.7652       117.2588       -25.2238         8.9185       106.4571
          1100.9093       -247.2118       112.4227       -25.0985         9.0024       104.0903
          1103.9172       -251.9450       113.6301       -26.3340         9.4840        96.6410
          1106.9252       -255.2142       114.9178       -28.4131         9.5508        97.1510
          1109.9331       -256.8934       118.1674       -28.7988         9.3224       102.4583
          1112.9411       -256.1339       117.9854       -27.1934         8.8877       106.4366
          1115.9490       -255.1672       115.2087       -30.0445         9.2153       100.9859
          1118.9569       -252.9968       119.1969       -26.2762         9.4623       100.6953
          1121.9649       -246.3203       121.4982       -20.4455         8.6321       104.9119
          1124.9728       -249.1514       116.0074       -19.2702         8.7223       101.1759
          1127.9808       -252.7117       116.6462       -20.0160         8.8370       101.0319
          1130.9888       -253.6995       120.9751       -21.6594         8.6820       103.6442
          1133.9967       -255.9158       123.6828       -23.0259         8.7191       102.0776
          1137.0046       -261.3528       121.6335       -23.8806         8.3726       107.8114
          1140.0126       -265.2924       123.6725       -27.6313         8.2424       108.6840
          1143.0205       -257.3701       128.7811       -24.1443         8.5596       105.6055
          1146.0285       -249.1512       129.8181       -21.3735         8.6572       102.8468
          1149.0364       -245.4576       126.8326       -18.4621         9.0069        97.9014
          1152.0444       -248.4152       118.8939       -18.7658         9.4088        94.1856
          1155.0523       -258.1140       113.8536       -21.1008         8.9650        97.0609
          1158.0603       -265.4779       120.4118       -20.4686         8.6216       102.3871
          1161.0682       -264.1939       127.2035       -21.0020         8.5401       103.0860
          1164.0762       -264.7930       129.7253       -24.4198         8.4428       104.2230
          1167.0841       -266.7684       131.4056       -19.5127         8.4121       106.1074
          1170.0921       -265.3923       129.6843       -18.3001         8.7163       102.2518
          1173.1000       -265.1289       131.4594       -18.7750         9.1678        98.2939
          1176.1080       -258.8678       133.0103       -19.1903         8.9699        98.6166
          1179.1159       -252.2829       132.1975       -18.4887         8.7537       101.7789
          1182.1239       -253.0591       130.7120       -17.5119         8.6534       106.5178
          1185.1318       -256.6708       126.2655       -16.8703         8.4523       108.5858
          1188.1398       -259.8795       127.0949       -15.6480         8.4894       106.1234
          1191.1477       -258.9084       127.9450       -18.8910         8.1935       106.3869
          1194.1557       -255.4334       123.3846       -19.8167         8.2924       104.8056
          1197.1636       -256.6883       129.4421       -19.8738         8.7289       104.9253
          1200.1716       -258.2795       131.4057       -19.8584         8.7282       106.1235
          1203.1795       -260.8574       129.6600       -19.6509         8.9017       105.5878
          1206.1875       -263.0104       125.9203       -20.3113         9.1668       103.6409
          1209.1954       -255.9104       124.7883       -21.4268         9.1997       103.3570
          1212.2034       -250.2625       123.9988       -23.1835         8.7706       104.9741
          1215.2113       -248.6172       119.0668       -20.0180         8.5296       108.0673
          1218.2193       -251.2098       116.1765       -15.2485         8.8590       108.4903
          1221.2272       -255.1688       119.9696       -17.2310         9.3214       106.2113
          1224.2352       -256.7588       122.3766       -19.3042         9.0871       108.9320
          1227.2431       -257.0159       122.2950       -15.4530         8.7094       113.1323
          1230.2511       -263.5445       124.7364       -15.1483         8.3516       114.2913
          1233.2590       -271.0353       127.0662       -12.3458         8.3141       113.2992
          1236.2670       -273.2926       125.5817       -13.7583         8.6562       111.7681
          1239.2749       -267.3597       130.0388       -17.0608         8.5572       111.8086
          1242.2829       -265.2979       135.1122       -18.1001         8.2424       117.0677
