Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/06:35:07          7.9583        -6.6619        29.0643        30.8618      -116.9500       108.5471       -19.1507       160.7064        33.3955       120.7292
2007-06-08/06:35:10          9.7126        -7.2542        29.5575        31.9469      -121.4381       101.6549       -16.3141       159.2077        33.5925       117.6058
2007-06-08/06:35:13          8.6060       -10.4606        28.2970        31.3721      -106.2893       100.1059       -22.4440       147.7239        34.4832       116.2920
2007-06-08/06:35:16          6.7623        -7.0127        30.0476        31.5875      -120.1731        97.4391       -14.8850       155.4269        31.2517       116.0936
2007-06-08/06:35:19          6.8752        -6.6036        26.9372        28.5742      -126.9124       114.7175       -16.5286       171.8722        31.9662       125.1242
2007-06-08/06:35:22          9.0633        -7.7160        31.5261        33.6983      -122.7555       102.8968       -20.2395       161.4506        34.7301       114.8618
2007-06-08/06:35:25          5.1217        -2.9622        29.8256        30.4068      -115.7550        94.0564       -14.0051       149.8064        30.6956       117.0468
2007-06-08/06:35:28          8.1772        -7.2303        29.6864        31.6295      -121.2184       111.3880       -19.9526       165.8291        33.4919       120.6753
2007-06-08/06:35:31          8.1626        -4.9909        30.3777        31.8487      -121.8226        95.9582       -18.1891       156.1396        31.3789       118.7147
2007-06-08/06:35:34          7.2863        -6.1826        27.4358        29.0523      -116.8953       101.2213       -19.8524       155.8986        32.4779       118.1617
2007-06-08/06:35:37          8.6171        -8.0820        29.7997        32.0561      -127.0736        92.4218       -24.6916       159.0571        35.0295       123.5262
2007-06-08/06:35:40          9.2270        -7.8060        31.3938        33.6398      -123.8550       103.6088       -13.5619       162.0456        31.8127       121.5878
2007-06-08/06:35:43         10.8453        -6.7943        26.8323        29.7280      -119.4410       108.1613       -15.2340       161.8552        33.1853       115.8928
2007-06-08/06:35:46          8.3671        -7.7385        28.2825        30.4925      -117.3434       103.8529       -25.0954       158.6968        35.7877       117.9301
2007-06-08/06:35:49          7.3203        -6.7866        28.1336        29.8520      -116.0142       108.8815       -22.8120       160.7323        34.1295       117.9207
2007-06-08/06:35:52          6.6576        -7.9398        30.6368        32.3416      -109.9116       105.3646       -19.4565       153.4953        32.9232       120.6152
2007-06-08/06:35:55          7.8964        -4.7616        28.5268        29.9801      -104.9388       100.6978       -22.7862       147.2121        33.8419       116.3297
2007-06-08/06:35:58          7.1745        -5.2425        28.8405        30.1783      -110.8535        98.4400       -23.6661       150.1300        34.0744       114.1080
2007-06-08/06:36:01          8.6764        -8.8166        29.0043        31.5319      -109.1762       101.8566       -22.6604       151.0222        34.1266       114.4333
2007-06-08/06:36:04         12.1038        -6.9275        30.1374        33.2077      -128.5652        97.5771       -21.8246       162.8699        34.3968       123.4423
2007-06-08/06:36:07          8.3984        -8.7394        31.1104        33.3881      -111.4589        94.8653       -29.3170       149.2716        32.8938       118.6103
2007-06-08/06:36:10         10.3934        -9.6591        29.4692        32.7071      -118.9328       107.7547       -17.4172       161.4294        30.5404       117.3856
2007-06-08/06:36:13          9.0312        -7.6474        30.2652        32.4966      -123.8979       102.7723       -18.8977       162.0801        34.1075       113.8993
2007-06-08/06:36:16          6.8696        -8.5951        28.9348        30.9562      -105.0104       102.9351       -22.2069       148.7144        33.8626       107.3106
2007-06-08/06:36:19          9.0033        -6.6521        30.1481        32.1592      -115.1647        96.5190       -22.6614       151.9618        32.2579       115.6898
2007-06-08/06:36:22          7.6866        -7.7775        31.0761        32.9439      -109.5529        96.9863       -23.4273       148.1790        32.7019       112.5774
2007-06-08/06:36:25          8.1193        -7.2079        28.8035        30.7818      -117.5093       103.3832       -16.4990       157.3809        30.6866       114.8117
2007-06-08/06:36:28          9.0177        -8.4139        29.2650        31.7577      -118.7004       109.7564       -17.6060       162.6230        33.1832       116.5626
2007-06-08/06:36:31         11.8667        -9.2067        29.1068        32.7535      -118.6496       103.3942       -18.4598       158.4578        33.2015       117.0622
2007-06-08/06:36:34         10.2308       -11.0745        30.9966        34.4689      -111.1057        93.1273       -24.7800       147.0756        33.0979       111.4878
