Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          583.83952          5.6056        -3.1949        19.9379        20.9559        60.7232       -25.6038        21.7842        69.5091         1.2675      1131.7261
          586.84900          5.1243        -3.1115        19.9171        20.7998        55.5307       -18.9145        24.7725        63.7485         1.2383      1169.3979
          589.85848          4.5407        -3.3722        19.7084        20.5039        49.9403       -12.4818        30.5682        60.3261         1.2675      1149.1817
          592.86796          4.8663        -3.6438        19.4202        20.3495        44.2590        -4.2318        36.6375        57.6840         1.2966      1105.9374
          595.87745          4.0457        -4.0953        19.2408        20.0835        36.6609         1.3581        39.2606        54.2393         1.2966      1116.5155
          598.88693          4.4588        -4.6940        18.9704        20.0447        21.9314        10.1755        40.6985        48.1980         1.3257      1118.3872
          601.89641          4.3969        -5.0093        18.5528        19.7138        11.2709        19.0786        40.4582        46.2193         1.4423      1061.8002
          604.90589          4.1024        -5.0123        17.9516        19.0843         9.4647        23.3081        41.6349        48.6974         1.4132      1106.9320
          607.91538          3.6522        -4.7986        18.2002        19.1733        13.1224        25.3718        41.8893        50.7820         1.3840      1128.8070
          610.92486          3.2855        -5.0707        18.2616        19.2352        13.2399        20.5289        43.6071        50.3409         1.3840      1127.9773
          613.93434          2.7230        -4.9639        18.6387        19.4796         7.8942        13.2812        45.4499        48.0491         1.4132      1102.7256
          616.94382          2.7752        -4.9022        18.7452        19.5734         5.5198        11.2270        43.5260        45.3446         1.5006      1100.0506
          619.95331          2.8564        -4.8511        18.7554        19.5821         2.3914        10.8757        40.0695        41.6092         1.4423      1135.7170
          622.96279          2.9875        -5.0089        18.4495        19.3494         3.5948        10.3023        39.1626        40.7492         1.4714      1113.1800
          625.97226          2.9674        -4.7610        18.5581        19.3875         4.5846        14.9187        37.7234        41.0523         1.4132      1135.6971
          628.98175          2.8094        -4.4443        18.8567        19.5760         2.0691        19.6411        35.6825        40.8017         1.5006      1103.0946
          631.99123          2.5404        -4.3950        18.9477        19.6159        -2.2986        14.4924        30.5267        34.8100         1.4132      1123.3012
          635.00071          2.2419        -4.3348        19.3649        19.9704       -10.0578         1.7056        27.9673        30.3919         1.4132      1110.3305
          638.01019          2.2942        -4.7222        19.6623        20.3512        -9.9116       -10.5190        30.1186        33.8509         1.3840      1120.3963
          641.01967          2.3686        -4.5823        19.9616        20.6173        -7.6643       -21.4263        29.7309        37.7584         1.3257      1154.0339
          644.02916          2.2178        -4.3851        20.1516        20.7421        -4.7228       -29.8294        26.9173        40.6119         1.3840      1105.5925
          647.03864          1.8248        -4.0263        19.8438        20.3302        -3.0163       -38.5896        24.2015        45.8806         1.4132      1086.6610
          650.04812          1.8616        -4.5006        19.5974        20.1936         1.3288       -43.7742        25.0905        51.0780         1.3549      1092.1003
          653.05760          1.2475        -4.3503        19.6355        20.1503        11.7201       -47.7479        27.0395        56.5934         1.3257      1165.3602
          656.06709          1.2979        -4.7436        19.1543        19.7756        16.1337       -54.4474        22.9176        61.2990         1.3257      1151.7537
          659.07657          0.8636        -5.3542        19.1000        19.8550        17.3179       -50.3613        24.1929        58.4939         1.2966      1154.9690
          662.08605          0.9625        -5.7312        18.7820        19.6606        25.9907       -51.0191        24.0040        62.9014         1.2383      1202.3304
          665.09554          0.7564        -5.4557        18.6280        19.4253        37.0286       -48.1360        23.2663        65.0766         1.2675      1208.5992
          668.10502          0.5536        -5.2798        18.5657        19.3098        32.4536       -43.1252        29.2499        61.7903         1.2675      1214.2880
          671.11450         -0.0540        -5.1934        18.6039        19.3153        30.1704       -36.6038        30.6331        56.7261         1.2966      1188.8048
          674.12398          0.2009        -5.3012        18.3032        19.0565        33.3952       -33.2304        25.4654        53.6971         1.3257      1173.6870
          677.13346          0.6189        -5.6586        18.4508        19.3090        33.3428       -25.1721        27.5169        50.1712         1.2383      1224.8612
          680.14294          1.4421        -6.8685        18.0619        19.3775        30.9049       -13.2157        23.8169        41.6475         1.2966      1186.2401
          683.15243          2.3810        -7.2037        17.5494        19.1192        29.8024        -1.3225        17.5730        35.0520         1.3257      1142.7084
