Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2008-04-15/06:09:04         -3.3234         1.9642         8.6087         9.4346       -27.7402        32.7678        15.2647        45.5659         0.9178       761.7573
2008-04-15/06:09:07         -3.2589         1.4967         8.6335         9.3487       -28.9606        28.1307        18.7360        44.5094         0.8304       791.5721
2008-04-15/06:09:10         -3.2462         1.4375         8.7630         9.4548       -28.3437        23.3087        11.9485        38.5931         0.8304       789.1790
2008-04-15/06:09:13         -3.2866         1.3766         8.8297         9.5216       -26.9069        22.6769        14.6997        38.1353         0.8595       757.3331
2008-04-15/06:09:16         -3.1589         1.0963         8.7531         9.3700       -18.6704        20.5569        16.2973        32.1990         0.8887       774.8374
2008-04-15/06:09:19         -2.9694         1.2322         8.5510         9.1354       -18.9240        18.2016        12.0266        28.8800         0.8887       744.0418
2008-04-15/06:09:22         -2.9575         1.4384         8.4094         9.0296       -27.0714        18.6525         9.9266        34.3411         0.8595       757.4720
2008-04-15/06:09:25         -2.8759         2.0423         8.6615         9.3522       -28.3665        21.7960        22.3340        42.1726         0.9178       737.5480
2008-04-15/06:09:28         -2.8207         1.8519         8.6199         9.2568       -35.0862        27.0367        17.4967        47.6252         0.8595       766.9164
2008-04-15/06:09:32         -2.7276         2.0032         8.6837         9.3199       -26.0509        15.6253        15.8884        34.2818         0.8595       772.1888
2008-04-15/06:09:35         -2.7322         2.1281         8.7957         9.4530       -26.3702        14.6590        11.7034        32.3611         0.8595       794.5677
2008-04-15/06:09:38         -2.5506         2.1681         8.7075         9.3288       -25.9298        17.0210        10.1713        32.6423         0.8595       766.3403
2008-04-15/06:09:41         -2.3218         2.1512         8.6680         9.2278       -29.2539        16.3721        12.8186        35.8908         0.8595       781.2886
2008-04-15/06:09:44         -2.3537         2.4714         8.6100         9.2618       -31.5308        23.3594        12.3898        41.1505         0.8304       787.4368
2008-04-15/06:09:47         -2.2012         2.6112         8.7694         9.4110       -26.0538        21.4917        12.1234        35.8841         0.8595       746.0716
2008-04-15/06:09:50         -2.1654         2.6038         8.7100         9.3452       -17.6719        21.2424         8.1832        28.8184         0.8887       750.1113
2008-04-15/06:09:53         -2.0587         2.5635         8.6823         9.2840       -22.7981        18.0098        14.4673        32.4563         0.8595       760.5985
2008-04-15/06:09:56         -2.0714         2.7616         8.6444         9.3082       -27.1322        18.9130        15.7655        36.6389         0.8595       759.2178
2008-04-15/06:09:59         -1.8663         2.8476         8.7346         9.3747       -17.4560        20.5580         4.1977        27.2940         0.8595       771.2694
2008-04-15/06:10:02         -1.6629         2.7889         8.7434         9.3268       -17.1112        20.0872        10.1013        28.2546         0.8887       752.0964
2008-04-15/06:10:05         -1.5632         2.5179         8.7924         9.2785       -18.4815        16.0866        12.5433        27.5259         0.9178       732.5328
2008-04-15/06:10:08         -1.5376         2.7812         8.9144         9.4639       -27.0132        17.9881        11.9265        34.5763         0.9178       731.3941
2008-04-15/06:10:11         -1.3812         2.8513         9.0934         9.6295       -25.5608        12.4666         5.9768        29.0602         0.8595       775.8097
2008-04-15/06:10:14         -1.4761         2.3731         9.0601         9.4814       -18.1152        14.9032        11.7773        26.2482         0.8887       733.2747
2008-04-15/06:10:17         -1.5374         2.3948         9.1806         9.6116       -21.3322         6.0388        10.9273        24.7171         0.8595       774.4796
2008-04-15/06:10:20         -1.4882         2.4333         9.2871         9.7153       -14.6500        10.0976         8.6081        19.7657         0.8887       745.6659
2008-04-15/06:10:23         -1.4474         2.3288         9.4194         9.8104       -24.5053        12.5996        11.2973        29.7807         0.8595       761.8865
