Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          496.29581         11.2158       -12.3485         6.6208        17.9475      -360.1446        95.9876       102.0753       386.4565         4.5455       138.5366
          499.30367          9.0713        -9.4744        10.0810        16.5433      -357.5028        85.5043        88.5100       378.3795         4.8886       140.8328
          502.31152          5.3210        -7.1176        12.4575        15.3024      -362.1638        81.0165        78.4856       379.4071         4.8844       143.2789
          505.31937          4.6952        -6.8853        12.5927        15.1006      -380.0410        97.5877        90.9753       402.8796         4.6802       154.4464
          508.32723          2.3069        -5.8238        13.1105        14.5301      -394.9950       112.4210        93.0299       421.0875         4.5064       169.5539
          511.33508          2.3361        -4.8185        12.7633        13.8412      -402.6489       115.8135        92.0105       428.9715         4.3077       175.8366
          514.34293          2.0245        -4.1850        12.9506        13.7598      -411.0911       117.1677        94.7332       437.8868         4.4374       170.8664
          517.35078          2.2249        -4.5454        15.8378        16.6266      -423.1095       117.6999       101.0777       450.6829         4.3567       163.5484
          520.35863          1.4426        -3.8052        16.6229        17.1138      -428.2148       121.8541       103.8704       457.2220         3.8856       165.8336
          523.36649          1.2419        -3.7620        17.1063        17.5591      -422.9776       113.9768       108.5879       451.3432         4.2724       153.4956
          526.37435          0.6083        -2.6441        18.2627        18.4631      -425.6191       113.8826        96.9091       451.3040         3.7419       165.1225
          529.38220          0.0947        -3.1606        18.0945        18.3687      -427.2270       109.3634        94.0004       451.3255         3.6715       173.4649
          532.39005         -0.4866        -2.7345        17.9804        18.1936      -439.5197        93.6447       114.2972       463.6991         4.2703       155.4156
          535.39790         -0.5309        -2.0086        17.5229        17.6457      -445.2954        91.8365       116.2991       469.3052         4.4245       152.0759
          538.40575         -0.7438        -2.3170        17.9135        18.0780      -449.6799        89.5811       116.8100       473.1769         4.3074       156.7039
          541.41361         -1.4669        -2.8670        17.4985        17.7924      -453.2099        84.3071       115.4072       475.2161         4.3822       160.1582
          544.42147         -1.3756        -3.8227        17.0282        17.5061      -460.4053        80.8665       119.8515       482.6213         4.7505       158.1383
          547.42932         -0.7103         0.0216        17.3995        17.4140      -471.1526        84.5019       135.1157       497.4668         4.6963       160.8867
          550.43717         -0.9423        -3.5647        17.1004        17.4934      -476.5701        92.1438       138.8801       504.9293         4.6574       159.7718
          553.44502         -1.4899        -5.8481        16.4601        17.5316      -481.8171        89.6014       117.9751       504.3467         4.5655       162.7740
          556.45288         -1.6394        -4.9845        15.3986        16.2681      -486.0483        87.4835        98.0421       503.5211         4.0045       168.1498
          559.46073         -1.8217        -6.2396        16.0258        17.2939      -492.2812        78.0547        87.4232       506.2665         4.0986       158.1561
